strategy	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
morning_range_reversion	MNQ	0	2026-02-18	2026-03-04	306.50	10	60.0000	5.7352	321.75
morning_range_reversion	MNQ	1	2026-03-05	2026-03-19	347.00	8	62.5000	5.1514	184.75
morning_range_reversion	MNQ	2	2026-03-20	2026-04-03	-208.50	10	50.0000	-2.8955	409.25
morning_range_reversion	MNQ	3	2026-04-04	2026-04-18	99.75	9	66.6667	2.5171	290.00
morning_range_reversion	MNQ	4	2026-04-19	2026-05-03	339.50	8	62.5000	7.5942	154.25
morning_range_reversion	MNQ	5	2026-05-04	2026-05-19	600.75	11	81.8182	9.8758	198.25
morning_range_reversion	MES	0	2026-02-18	2026-03-04	132.50	10	80.0000	5.4887	111.88
morning_range_reversion	MES	1	2026-03-05	2026-03-19	55.62	7	57.1429	1.8463	165.62
morning_range_reversion	MES	2	2026-03-20	2026-04-03	83.75	10	70.0000	2.6072	97.50
morning_range_reversion	MES	3	2026-04-04	2026-04-18	-45.00	8	62.5000	-2.3522	135.00
morning_range_reversion	MES	4	2026-04-19	2026-05-03	151.25	10	70.0000	7.2323	50.62
morning_range_reversion	MES	5	2026-05-04	2026-05-19	-30.62	11	63.6364	-1.0855	127.50
morning_range_reversion	MGC	0	2026-02-18	2026-03-04	-760.00	8	37.5000	-7.6199	760.00
morning_range_reversion	MGC	1	2026-03-05	2026-03-19	26.00	8	62.5000	0.4704	279.00
morning_range_reversion	MGC	2	2026-03-20	2026-04-03	2358.50	9	88.8889	14.1117	948.00
morning_range_reversion	MGC	3	2026-04-04	2026-04-18	221.00	8	62.5000	3.7052	259.00
morning_range_reversion	MGC	4	2026-04-19	2026-05-03	35.00	6	66.6667	0.8277	211.50
morning_range_reversion	MGC	5	2026-05-04	2026-05-19	421.00	10	70.0000	6.0144	313.50
