strategy	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
morning_range_reversion	MNQ	0	2026-02-18	2026-03-04	-60.25	11	45.4545	-0.8997	243.75
morning_range_reversion	MNQ	1	2026-03-05	2026-03-19	28.75	9	44.4444	0.3700	363.00
morning_range_reversion	MNQ	2	2026-03-20	2026-04-03	64.00	10	60.0000	0.8853	237.50
morning_range_reversion	MNQ	3	2026-04-04	2026-04-18	30.25	9	55.5556	0.7466	252.00
morning_range_reversion	MNQ	4	2026-04-19	2026-05-03	167.50	10	50.0000	2.6988	227.25
morning_range_reversion	MNQ	5	2026-05-04	2026-05-19	164.75	11	63.6364	2.2446	216.25
morning_range_reversion	MES	0	2026-02-18	2026-03-04	-146.88	11	45.4545	-4.5911	164.38
morning_range_reversion	MES	1	2026-03-05	2026-03-19	102.50	8	62.5000	3.2733	105.00
morning_range_reversion	MES	2	2026-03-20	2026-04-03	-88.75	10	60.0000	-2.4059	188.12
morning_range_reversion	MES	3	2026-04-04	2026-04-18	-136.25	10	50.0000	-5.8284	237.50
morning_range_reversion	MES	4	2026-04-19	2026-05-03	118.75	10	60.0000	5.2952	45.62
morning_range_reversion	MES	5	2026-05-04	2026-05-19	-46.88	11	63.6364	-1.6581	151.88
morning_range_reversion	MGC	0	2026-02-18	2026-03-04	-1071.00	8	25.0000	-12.3663	1072.00
morning_range_reversion	MGC	1	2026-03-05	2026-03-19	-186.50	9	44.4444	-3.1762	502.50
morning_range_reversion	MGC	2	2026-03-20	2026-04-03	2088.00	10	80.0000	10.1996	948.00
morning_range_reversion	MGC	3	2026-04-04	2026-04-18	22.00	10	50.0000	0.2916	296.00
morning_range_reversion	MGC	4	2026-04-19	2026-05-03	-164.00	8	50.0000	-3.3318	441.00
morning_range_reversion	MGC	5	2026-05-04	2026-05-19	112.00	10	60.0000	1.4720	346.00
