strategy	symbol	trades	total_pnl	win_rate	sharpe	max_dd	period
overnight_range	MES	0	0.00	0.00	0.00	0.00	2026-03-22 to 2026-05-01
vwap_zscore_reversion	MES	29	-104.05	37.93	-1.29	454.63	2026-03-22 to 2026-05-01
mean_reversion	MES	0	0.00	0.00	0.00	0.00	2026-03-22 to 2026-05-01
trend_following	MES	0	0.00	0.00	0.00	0.00	2026-03-22 to 2026-05-01
simple_candle	MES	0	0.00	0.00	0.00	0.00	ERR: Extra data: line 1 column 5 (char 4)
overnight_range	MGC	0	0.00	0.00	0.00	0.00	2026-03-22 to 2026-05-01
vwap_zscore_reversion	MGC	29	-727.19	34.48	-4.28	979.19	2026-03-22 to 2026-05-01
mean_reversion	MGC	0	0.00	0.00	0.00	0.00	2026-03-22 to 2026-05-01
trend_following	MGC	0	0.00	0.00	0.00	0.00	2026-03-22 to 2026-05-01
simple_candle	MGC	0	0.00	0.00	0.00	0.00	ERR: Extra data: line 1 column 5 (char 4)
