strategy	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
body_reversion	MNQ	0	2026-01-21	2026-02-09	203.98	27	33.3333	1.3825	465.34
body_reversion	MNQ	1	2026-02-10	2026-03-01	553.23	22	36.3636	4.0007	216.80
body_reversion	MNQ	2	2026-03-02	2026-03-21	1293.41	34	32.3529	3.2301	1059.75
body_reversion	MNQ	3	2026-03-22	2026-04-10	321.14	25	32.0000	1.5396	418.27
body_reversion	MNQ	4	2026-04-11	2026-05-01	-258.00	29	24.1379	-2.4108	453.89
morning_range_reversion	MNQ	0	2026-01-21	2026-02-09	197.50	12	41.6667	2.0797	391.75
morning_range_reversion	MNQ	1	2026-02-10	2026-03-01	430.75	13	69.2308	7.3973	321.75
morning_range_reversion	MNQ	2	2026-03-02	2026-03-21	500.25	11	63.6364	5.8120	299.00
morning_range_reversion	MNQ	3	2026-03-22	2026-04-10	-92.00	14	57.1429	-1.0382	409.25
morning_range_reversion	MNQ	4	2026-04-11	2026-05-01	419.75	13	69.2308	6.2448	154.25
overnight_range	MNQ	0	2026-01-21	2026-02-09	735.50	18	77.7778	8.6941	242.50
overnight_range	MNQ	1	2026-02-10	2026-03-01	156.55	17	41.1765	1.9138	207.25
overnight_range	MNQ	2	2026-03-02	2026-03-21	1224.10	18	66.6667	10.4327	160.85
overnight_range	MNQ	3	2026-03-22	2026-04-10	634.60	18	61.1111	5.8365	203.75
overnight_range	MNQ	4	2026-04-11	2026-05-01	293.40	18	55.5556	3.9454	156.05
body_reversion	MES	0	2026-01-21	2026-02-09	-235.71	18	11.1111	-6.0184	298.93
body_reversion	MES	1	2026-02-10	2026-03-01	163.66	19	36.8421	2.8018	90.27
body_reversion	MES	2	2026-03-02	2026-03-21	916.07	16	43.7500	7.0038	301.25
body_reversion	MES	3	2026-03-22	2026-04-10	-45.09	10	30.0000	-1.4700	190.22
body_reversion	MES	4	2026-04-11	2026-05-01	-119.69	12	25.0000	-5.9411	160.05
morning_range_reversion	MES	0	2026-01-21	2026-02-09	-54.38	11	63.6364	-1.2918	252.50
morning_range_reversion	MES	1	2026-02-10	2026-03-01	239.38	13	84.6154	8.1135	93.12
morning_range_reversion	MES	2	2026-03-02	2026-03-21	385.62	11	72.7273	8.1026	137.50
morning_range_reversion	MES	3	2026-03-22	2026-04-10	-261.25	14	42.8571	-5.0489	337.50
morning_range_reversion	MES	4	2026-04-11	2026-05-01	150.62	13	53.8462	3.6012	93.75
overnight_range	MES	0	2026-01-21	2026-02-09	148.13	17	47.0588	2.7778	124.12
overnight_range	MES	1	2026-02-10	2026-03-01	286.00	16	75.0000	8.3330	56.25
overnight_range	MES	2	2026-03-02	2026-03-21	67.13	19	47.3684	0.6630	462.62
overnight_range	MES	3	2026-03-22	2026-04-10	23.00	18	38.8889	0.3601	166.62
overnight_range	MES	4	2026-04-11	2026-05-01	303.50	18	55.5556	5.2641	115.38
body_reversion	MGC	0	2026-01-21	2026-02-09	1869.36	33	39.3939	3.5905	904.86
body_reversion	MGC	1	2026-02-10	2026-03-01	388.82	23	34.7826	2.6918	1005.00
body_reversion	MGC	2	2026-03-02	2026-03-21	-110.32	40	20.0000	-0.3024	1354.25
body_reversion	MGC	3	2026-03-22	2026-04-10	-137.36	26	30.7692	-0.6820	496.11
body_reversion	MGC	4	2026-04-11	2026-05-01	249.11	28	35.7143	1.9517	390.29
morning_range_reversion	MGC	0	2026-01-21	2026-02-09	1460.00	14	71.4286	8.5213	270.00
morning_range_reversion	MGC	1	2026-02-10	2026-03-01	386.50	11	54.5455	3.4952	403.50
morning_range_reversion	MGC	2	2026-03-02	2026-03-21	-159.50	13	61.5385	-1.0018	866.50
morning_range_reversion	MGC	3	2026-03-22	2026-04-10	2362.50	13	76.9231	10.4181	948.00
morning_range_reversion	MGC	4	2026-04-11	2026-05-01	192.50	11	63.6364	2.3591	240.00
overnight_range	MGC	0	2026-01-21	2026-02-09	4393.00	12	83.3333	10.5556	266.50
overnight_range	MGC	1	2026-02-10	2026-03-01	-691.50	17	23.5294	-7.7987	769.00
overnight_range	MGC	2	2026-03-02	2026-03-21	161.50	17	47.0588	1.3645	670.00
overnight_range	MGC	3	2026-03-22	2026-04-10	2657.00	16	62.5000	9.1026	498.50
overnight_range	MGC	4	2026-04-11	2026-05-01	781.00	18	55.5556	6.2940	292.50
