strategy	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
body_reversion	MNQ	0	2026-01-21	2026-02-09	203.98	27	33.3333	1.3825	465.34
body_reversion	MNQ	1	2026-02-10	2026-03-01	553.23	22	36.3636	4.0007	216.80
body_reversion	MNQ	2	2026-03-02	2026-03-21	1293.41	34	32.3529	3.2301	1059.75
body_reversion	MNQ	3	2026-03-22	2026-04-10	321.14	25	32.0000	1.5396	418.27
body_reversion	MNQ	4	2026-04-11	2026-05-01	-258.00	29	24.1379	-2.4108	453.89
morning_range_reversion	MNQ	0	2026-01-21	2026-02-09	384.75	7	85.7143	9.6003	76.00
morning_range_reversion	MNQ	1	2026-02-10	2026-03-01	274.00	10	80.0000	7.1752	267.25
morning_range_reversion	MNQ	2	2026-03-02	2026-03-21	473.00	10	80.0000	8.8005	381.50
morning_range_reversion	MNQ	3	2026-03-22	2026-04-10	-303.50	12	50.0000	-4.6491	355.50
morning_range_reversion	MNQ	4	2026-04-11	2026-05-01	247.25	11	72.7273	5.1863	154.25
overnight_range	MNQ	0	2026-01-21	2026-02-09	1731.70	18	61.1111	8.4563	432.90
overnight_range	MNQ	1	2026-02-10	2026-03-01	-153.35	17	47.0588	-1.7522	449.85
overnight_range	MNQ	2	2026-03-02	2026-03-21	1343.60	18	61.1111	6.7626	544.45
overnight_range	MNQ	3	2026-03-22	2026-04-10	650.30	18	55.5556	3.6698	397.30
overnight_range	MNQ	4	2026-04-11	2026-05-01	280.00	18	38.8889	1.7802	795.90
body_reversion	MES	0	2026-01-21	2026-02-09	-235.71	18	11.1111	-6.0184	298.93
body_reversion	MES	1	2026-02-10	2026-03-01	163.66	19	36.8421	2.8018	90.27
body_reversion	MES	2	2026-03-02	2026-03-21	916.07	16	43.7500	7.0038	301.25
body_reversion	MES	3	2026-03-22	2026-04-10	-45.09	10	30.0000	-1.4700	190.22
body_reversion	MES	4	2026-04-11	2026-05-01	-119.69	12	25.0000	-5.9411	160.05
morning_range_reversion	MES	0	2026-01-21	2026-02-09	97.50	8	75.0000	4.0812	68.12
morning_range_reversion	MES	1	2026-02-10	2026-03-01	210.62	11	90.9091	13.9109	91.25
morning_range_reversion	MES	2	2026-03-02	2026-03-21	102.50	10	60.0000	2.6352	165.62
morning_range_reversion	MES	3	2026-03-22	2026-04-10	184.38	11	81.8182	6.9204	102.50
morning_range_reversion	MES	4	2026-04-11	2026-05-01	-3.75	12	58.3333	-0.1121	108.75
overnight_range	MES	0	2026-01-21	2026-02-09	991.00	18	66.6667	10.4516	162.50
overnight_range	MES	1	2026-02-10	2026-03-01	84.62	17	52.9412	1.7953	145.12
overnight_range	MES	2	2026-03-02	2026-03-21	108.75	18	50.0000	1.1057	369.25
overnight_range	MES	3	2026-03-22	2026-04-10	-29.25	18	38.8889	-0.2904	306.00
overnight_range	MES	4	2026-04-11	2026-05-01	135.75	18	44.4444	1.7145	386.75
body_reversion	MGC	0	2026-01-21	2026-02-09	1869.36	33	39.3939	3.5905	904.86
body_reversion	MGC	1	2026-02-10	2026-03-01	388.82	23	34.7826	2.6918	1005.00
body_reversion	MGC	2	2026-03-02	2026-03-21	-110.32	40	20.0000	-0.3024	1354.25
body_reversion	MGC	3	2026-03-22	2026-04-10	-137.36	26	30.7692	-0.6820	496.11
body_reversion	MGC	4	2026-04-11	2026-05-01	249.11	28	35.7143	1.9517	390.29
morning_range_reversion	MGC	0	2026-01-21	2026-02-09	274.00	8	62.5000	3.6609	312.50
morning_range_reversion	MGC	1	2026-02-10	2026-03-01	303.50	9	66.6667	4.1356	326.00
morning_range_reversion	MGC	2	2026-03-02	2026-03-21	-468.50	11	63.6364	-3.8849	853.50
morning_range_reversion	MGC	3	2026-03-22	2026-04-10	638.50	9	77.7778	11.1424	243.50
morning_range_reversion	MGC	4	2026-04-11	2026-05-01	537.00	10	90.0000	20.3149	106.00
overnight_range	MGC	0	2026-01-21	2026-02-09	2559.50	15	60.0000	5.1062	1273.00
overnight_range	MGC	1	2026-02-10	2026-03-01	-841.00	16	37.5000	-4.2838	1274.00
overnight_range	MGC	2	2026-03-02	2026-03-21	-618.50	17	47.0588	-2.8371	1177.00
overnight_range	MGC	3	2026-03-22	2026-04-10	1229.50	15	60.0000	3.6424	1424.00
overnight_range	MGC	4	2026-04-11	2026-05-01	1949.00	18	61.1111	6.9175	623.00
