strategy	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
body_reversion	MNQ	0	2026-01-21	2026-02-09	4.57	40	50.0000	0.0231	778.11
body_reversion	MNQ	1	2026-02-10	2026-03-01	599.61	37	54.0541	3.0627	353.89
body_reversion	MNQ	2	2026-03-02	2026-03-21	2100.64	62	48.3871	4.0612	1276.13
body_reversion	MNQ	3	2026-03-22	2026-04-10	699.80	41	53.6585	2.3410	262.50
body_reversion	MNQ	4	2026-04-11	2026-05-01	-712.20	41	43.9024	-3.8722	983.37
morning_range_reversion	MNQ	0	2026-01-21	2026-02-09	904.25	13	84.6154	9.7321	308.00
morning_range_reversion	MNQ	1	2026-02-10	2026-03-01	653.50	18	77.7778	7.0849	503.00
morning_range_reversion	MNQ	2	2026-03-02	2026-03-21	1067.25	18	72.2222	8.3522	681.00
morning_range_reversion	MNQ	3	2026-03-22	2026-04-10	-971.00	17	58.8235	-6.1909	1194.00
morning_range_reversion	MNQ	4	2026-04-11	2026-05-01	392.00	19	63.1579	3.6279	308.50
overnight_range	MNQ	0	2026-01-21	2026-02-09	3539.35	31	74.1935	10.0746	573.30
overnight_range	MNQ	1	2026-02-10	2026-03-01	-193.75	22	59.0909	-0.4417	2291.95
overnight_range	MNQ	2	2026-03-02	2026-03-21	2405.25	30	70.0000	6.5967	1088.90
overnight_range	MNQ	3	2026-03-22	2026-04-10	1118.65	28	67.8571	3.3992	794.60
overnight_range	MNQ	4	2026-04-11	2026-05-01	168.55	26	57.6923	0.6465	1591.80
body_reversion	MES	0	2026-01-21	2026-02-09	-168.04	27	40.7407	-2.6520	368.12
body_reversion	MES	1	2026-02-10	2026-03-01	74.15	28	53.5714	0.8583	180.54
body_reversion	MES	2	2026-03-02	2026-03-21	665.89	25	56.0000	4.3750	512.32
body_reversion	MES	3	2026-03-22	2026-04-10	-37.77	17	52.9412	-0.7379	192.95
body_reversion	MES	4	2026-04-11	2026-05-01	-189.06	18	50.0000	-4.8946	365.00
morning_range_reversion	MES	0	2026-01-21	2026-02-09	-370.62	13	53.8462	-4.4712	608.75
morning_range_reversion	MES	1	2026-02-10	2026-03-01	456.88	21	80.9524	11.4760	163.75
morning_range_reversion	MES	2	2026-03-02	2026-03-21	310.62	16	68.7500	3.5212	302.50
morning_range_reversion	MES	3	2026-03-22	2026-04-10	-456.25	17	47.0588	-5.1068	694.38
morning_range_reversion	MES	4	2026-04-11	2026-05-01	-13.12	18	61.1111	-0.1665	209.38
overnight_range	MES	0	2026-01-21	2026-02-09	1809.88	30	76.6667	10.4724	241.00
overnight_range	MES	1	2026-02-10	2026-03-01	290.00	24	62.5000	2.5093	273.62
overnight_range	MES	2	2026-03-02	2026-03-21	-12.13	28	50.0000	-0.0647	726.75
overnight_range	MES	3	2026-03-22	2026-04-10	374.50	28	60.7143	2.0131	595.25
overnight_range	MES	4	2026-04-11	2026-05-01	-100.63	25	56.0000	-0.7142	812.12
body_reversion	MGC	0	2026-01-21	2026-02-09	96.68	52	53.8462	0.1374	2530.82
body_reversion	MGC	1	2026-02-10	2026-03-01	508.46	37	54.0541	2.5594	2010.00
body_reversion	MGC	2	2026-03-02	2026-03-21	-1087.64	57	40.3509	-2.3112	1954.64
body_reversion	MGC	3	2026-03-22	2026-04-10	113.03	40	52.5000	0.3625	712.79
body_reversion	MGC	4	2026-04-11	2026-05-01	369.11	47	53.1915	2.1556	515.57
morning_range_reversion	MGC	0	2026-01-21	2026-02-09	362.00	12	66.6667	2.0970	989.00
morning_range_reversion	MGC	1	2026-02-10	2026-03-01	825.50	15	73.3333	4.9562	670.00
morning_range_reversion	MGC	2	2026-03-02	2026-03-21	-1199.00	17	58.8235	-4.0880	2085.00
morning_range_reversion	MGC	3	2026-03-22	2026-04-10	1519.50	16	81.2500	11.6687	472.50
morning_range_reversion	MGC	4	2026-04-11	2026-05-01	625.00	17	82.3529	5.4076	423.00
overnight_range	MGC	0	2026-01-21	2026-02-09	3898.50	25	76.0000	4.5738	2546.00
overnight_range	MGC	1	2026-02-10	2026-03-01	-2620.50	21	42.8571	-6.8612	3276.50
overnight_range	MGC	2	2026-03-02	2026-03-21	-1987.50	24	54.1667	-4.0623	3077.50
overnight_range	MGC	3	2026-03-22	2026-04-10	2032.50	24	62.5000	3.3165	2222.00
overnight_range	MGC	4	2026-04-11	2026-05-01	2525.00	29	75.8621	5.6824	1246.00
