strategy	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
body_reversion	MNQ	0	2026-01-21	2026-02-09	42.05	29	44.8276	0.4077	307.79
body_reversion	MNQ	1	2026-02-10	2026-03-01	73.63	28	42.8571	0.6610	365.46
body_reversion	MNQ	2	2026-03-02	2026-03-21	3514.99	43	60.4651	9.3994	445.97
body_reversion	MNQ	3	2026-03-22	2026-04-10	175.26	28	53.5714	1.2849	172.05
body_reversion	MNQ	4	2026-04-11	2026-05-01	-361.48	30	36.6667	-4.5554	493.71
body_reversion	MES	0	2026-01-21	2026-02-09	-145.45	18	33.3333	-4.9547	219.38
body_reversion	MES	1	2026-02-10	2026-03-01	-28.39	20	45.0000	-0.7740	99.42
body_reversion	MES	2	2026-03-02	2026-03-21	544.98	18	55.5556	6.8365	227.77
body_reversion	MES	3	2026-03-22	2026-04-10	57.72	10	70.0000	2.6290	94.29
body_reversion	MES	4	2026-04-11	2026-05-01	-112.48	12	41.6667	-7.0835	195.45
body_reversion	MGC	0	2026-01-21	2026-02-09	442.44	37	48.6486	1.2225	966.93
body_reversion	MGC	1	2026-02-10	2026-03-01	-74.27	24	41.6667	-0.7904	1005.00
body_reversion	MGC	2	2026-03-02	2026-03-21	-335.30	41	36.5854	-1.4013	731.57
body_reversion	MGC	3	2026-03-22	2026-04-10	-133.98	27	48.1481	-0.8451	426.23
body_reversion	MGC	4	2026-04-11	2026-05-01	327.43	30	56.6667	3.5710	181.18
