strategy	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
morning_range_reversion	MNQ	0	2026-01-21	2026-02-09	211.00	12	66.6667	3.0337	278.50
morning_range_reversion	MNQ	1	2026-02-10	2026-03-01	211.75	13	69.2308	4.4024	353.25
morning_range_reversion	MNQ	2	2026-03-02	2026-03-21	453.25	11	81.8182	7.3781	357.00
morning_range_reversion	MNQ	3	2026-03-22	2026-04-10	63.50	14	71.4286	0.8598	204.75
morning_range_reversion	MNQ	4	2026-04-11	2026-05-01	200.25	13	69.2308	3.6991	154.25
morning_range_reversion	MES	0	2026-01-21	2026-02-09	148.12	11	72.7273	5.5849	101.25
morning_range_reversion	MES	1	2026-02-10	2026-03-01	115.62	13	84.6154	4.6187	111.88
morning_range_reversion	MES	2	2026-03-02	2026-03-21	201.88	11	72.7273	5.2777	183.75
morning_range_reversion	MES	3	2026-03-22	2026-04-10	57.50	14	64.2857	1.4256	97.50
morning_range_reversion	MES	4	2026-04-11	2026-05-01	106.88	13	69.2308	3.3992	93.12
morning_range_reversion	MGC	0	2026-01-21	2026-02-09	849.00	14	71.4286	6.3907	331.50
morning_range_reversion	MGC	1	2026-02-10	2026-03-01	274.50	11	63.6364	3.2665	295.00
morning_range_reversion	MGC	2	2026-03-02	2026-03-21	-185.50	13	69.2308	-1.2972	812.50
morning_range_reversion	MGC	3	2026-03-22	2026-04-10	1543.50	13	76.9231	9.3477	948.00
morning_range_reversion	MGC	4	2026-04-11	2026-05-01	310.50	11	81.8182	5.1414	233.50
