strategy	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
overnight_range	MNQ	0	2026-01-21	2026-02-09	1538.60	18	55.5556	7.8009	342.50
overnight_range	MNQ	1	2026-02-10	2026-03-01	-68.85	17	41.1765	-0.9623	346.05
overnight_range	MNQ	2	2026-03-02	2026-03-21	1597.60	18	61.1111	8.8755	415.45
overnight_range	MNQ	3	2026-03-22	2026-04-10	697.80	18	50.0000	4.3911	402.20
overnight_range	MNQ	4	2026-04-11	2026-05-01	573.80	18	38.8889	4.0455	552.50
overnight_range	MES	0	2026-01-21	2026-02-09	867.25	18	61.1111	9.1377	162.50
overnight_range	MES	1	2026-02-10	2026-03-01	1.37	17	35.2941	0.0330	150.62
overnight_range	MES	2	2026-03-02	2026-03-21	132.00	18	44.4444	1.6397	238.12
overnight_range	MES	3	2026-03-22	2026-04-10	59.50	18	33.3333	0.6849	295.00
overnight_range	MES	4	2026-04-11	2026-05-01	272.75	18	44.4444	3.8384	272.25
overnight_range	MGC	0	2026-01-21	2026-02-09	3244.50	15	60.0000	7.1836	833.00
overnight_range	MGC	1	2026-02-10	2026-03-01	-505.00	16	31.2500	-3.1718	1025.00
overnight_range	MGC	2	2026-03-02	2026-03-21	-800.50	17	29.4118	-4.8653	1272.50
overnight_range	MGC	3	2026-03-22	2026-04-10	1137.50	15	53.3333	3.6806	1016.00
overnight_range	MGC	4	2026-04-11	2026-05-01	2246.00	18	61.1111	8.5505	442.00
