Id,AccountName,ContractName,Status,Type,Size,Side,CreatedAt,TradeDay,FilledAt,CancelledAt,StopPrice,LimitPrice,ExecutePrice,PositionDisposition,CreationDisposition,RejectionReason,ExchangeOrderId,PlatformOrderId
1708085098,PRAC-V2-14334-54169883,MGCZ5,Rejected,Market,2,Bid,10/09/2025 08:56:16 -04:00,10/09/2025 00:00:00 -05:00,,,,,,Undetermined,Trader,Invalid stop loss ticks (0). Price should be at least 4 ticks away.,,
1708523717,PRAC-V2-14334-54169883,MNQZ5,Filled,Market,2,Ask,10/09/2025 09:38:48 -04:00,10/09/2025 00:00:00 -05:00,10/09/2025 09:38:48 -04:00,,,,25294.250000000,Opening,Trader,,,
1708523723,PRAC-V2-14334-54169883,MNQZ5,Filled,Limit,6,Bid,10/09/2025 09:38:48 -04:00,10/09/2025 00:00:00 -05:00,10/09/2025 09:40:51 -04:00,,,25285.500000000,25285.500000000,Closing,Trader,,,
1708524697,PRAC-V2-14334-54169883,MNQZ5,Filled,Market,1,Ask,10/09/2025 09:38:49 -04:00,10/09/2025 00:00:00 -05:00,10/09/2025 09:38:49 -04:00,,,,25293.500000000,Opening,Trader,,,
1708523720,PRAC-V2-14334-54169883,MNQZ5,Cancelled,Stop,6,Bid,10/09/2025 09:38:48 -04:00,10/09/2025 00:00:00 -05:00,,10/09/2025 09:40:51 -04:00,25328.750000000,,,Undetermined,Trader,OCO Cancelled,,
1708567218,PRAC-V2-14334-54169883,MNQZ5,Filled,Market,2,Ask,10/09/2025 09:40:28 -04:00,10/09/2025 00:00:00 -05:00,10/09/2025 09:40:28 -04:00,,,,25295.750000000,Opening,Trader,,,
1708567694,PRAC-V2-14334-54169883,MNQZ5,Filled,Market,1,Ask,10/09/2025 09:40:30 -04:00,10/09/2025 00:00:00 -05:00,10/09/2025 09:40:30 -04:00,,,,25295.750000000,Opening,Trader,,,
1708567220,PRAC-V2-14334-54169883,MNQZ5,Cancelled,Stop,6,Bid,10/09/2025 09:40:28 -04:00,10/09/2025 00:00:00 -05:00,,10/09/2025 09:41:41 -04:00,25320.750000000,,,Undetermined,Trader,OCO Cancelled,,
1708524723,PRAC-V2-14334-54169883,MNQZ5,Filled,Limit,6,Bid,10/09/2025 09:38:49 -04:00,10/09/2025 00:00:00 -05:00,10/09/2025 09:42:13 -04:00,,,25261.500000000,25261.500000000,Opening,Trader,,,
1708567697,PRAC-V2-14334-54169883,MNQZ5,Cancelled,Stop,9,Bid,10/09/2025 09:40:30 -04:00,10/09/2025 00:00:00 -05:00,,10/09/2025 09:55:53 -04:00,25320.250000000,,,Undetermined,Trader,OCO Cancelled,,
